Filename,Font name,Uploaded to google drive,Download FREE font from:,,,,font_folder
1001,Marat Sans DemiBold Small Caps,YES,https://fontstand.com/fonts/marat-sans,,,,
1002,Bixa Stripe,YES,https://www.fontspace.com/mouldy-cheese-font-f95405,,,,bread-store
1003,Intellecta,YES,Intellecta Typewriter Font by Intellecta Design · Creative Fabrica,,,,
1004,NotEven,YES,https://www.fontzillion.com/fonts/jaycefontz/noteven,,,,
1005,,YES,https://www.fontzillion.com/fonts/gnu-freefont/freesans?utm_source=fontsquirrel.com&utm_medium=matcherator_link&utm_campaign=freesansgnufreefont,,,,
1006,Nimbus Sans Std Bold Condensed,YES,https://www.fontspace.com/oblata-display-font-f140482,,,,itc-garamond-std-book-condensed
1007,Manual Compressed,YES,https://en.maisfontes.com/manual-compressed.font,,,,manual-compressed-maisfontes.c12d
1008,,,,,,,
1009,,,,,,,
1010,Pesto Fresco Leaves,YES,https://font.download/font/signature-presto,,,,
1011,,,,,,,
1012,TypoSlabserif-Light,YES,https://font.download/font/typo-slab-serif,,,,
1013,Aliquam ,YES,https://www.fontspace.com/aliquam-font-f13154,,,,
1014,shagenes 𑁋 Sans-Serif Typeface,YES,https://font.download/font/typo-grotesk-rounded,,,,
1015,Horacio Larkin Sans-Serif Typeface,YES,https://font.download/font/core-sans-a,,,,
1016,Baskerville Classico Std Roman,YES,https://www.freefontdownload.org/en/search?search=Baskerville%20Classico%20Std%20Roman%20byLinotype,,,,
1017,Wafterby Smooth Corner Italic,YES,https://freefontdl.com/wafterby-family-font/,,,,
1018,Helvetica Pro Narrow Bold,YES,https://www.freefontdownload.org/en/helvetica-narrow-bold.font,,,,
1019,Boromir Caps,YES,https://en.bestfonts.pro/font/download-web/600d6353dd92630a0c1df5f9/BoromirCaps,,,,
1020,,,,,,,
1021,Delm Medium,YES,https://en.bestfonts.pro/font/delm,,,,todes-medium
1022,Fabrizio B-SC,YES,https://www.whatfontis.com/NMY_Fabrizio-B-SC.font,,,,
1023,FF FancyWriting Std Median,YES,https://fontsgeek.com/fonts/FancyWritingMega-Regular,,,,fancywriting-mega-regular
1024,Casual Script,YES,https://www.1001fonts.com/casualscript-font.html,,,,
1025,Hand Scribble Sketch Times Rough,YES,https://www.dafont.com/hand-times.font,,,,
1026, zachariah.kessler 𑁋 Sans-Serif,YES,https://font.download/font/pf-square-sans-pro,,,,
1027,Izmir Narrow Heavy Italic,YES,https://www.maisfontes.com/izmir-narrow-heavy-italic.font,,,,
1028,tortiz 𑁋 Display Typeface,YES,https://font.download/font/good-and-evil-day,,,,
1029,"Theano Old Style Regular Style",YES,https://www.fontspace.com/theano-font-f13396,,,,
1030,Grimnotes Alternates,YES,https://fonts2u.com/grimnotes-alternate-demo.font,,,,grimnotes
1031,Burford Rustic Book Black,YES,https://www.webfontfree.com/en/download/BurfordRusticBookBlack,,,,
1032,VLNL Irish Stew,YES,https://www.onlinewebfonts.com/download/698b7903bc9f6d416111a726464fd8b7,,,,
1033,Impact by Vladimir Nikolic,YES,https://www.dafont.com/impact.font,,,,
1034,Chantal Medium Regular,YES,https://freefonts.co/fonts/chantal-medium-regular,,,,chantal-medium-regular
1035,specimen/Montserrat,YES,https://fonts.google.com/specimen/Montserrat,,,,
1036,Rodetta Stamp,YES,https://fontmeme.com/fonts/rodetta-grezline-studio-font/,,,,
1037,Vollkorn,YES,https://fonts.google.com/specimen/Vollkorn,,,,
1038,Petunia Sans Italic,YES,https://en.maisfontes.com/petunia-sans-italic.font,,,,
1039,Marlon Pro Heavy,YES,https://maisfontes.com/marlon-pro-heavy.font?utm_source=chatgpt.com,,,,
1040,Times New Roman Pro Extra Bold,YES,https://en.maisfontes.com/times-new-roman-monotype-extra-bold.font?utm_source=chatgpt.com,,,,times-new-roman
1041,Baskerville Old Face SH Regular,YES,https://1000fonts.com/baskerville-old-face-sh?utm_source=chatgpt.com,,,,baskerville(family)
1042,Core Sans NR SC 77 Cond ExtraBold,YES,https://www.onlinewebfonts.com/download/2086f778d832cc6c6f85ea52856a2b39?utm_source=chatgpt.com,,,,
1043,Paralucent Condensed Bold Italic,YES,https://www.freefontdownload.org/en/paralucent-cond-bold.font?utm_source=chatgpt.com,,,,
1044,VertiCaps,YES,https://www.dafont.com/verticaps.font?utm_source=chatgpt.com,,,,
1045,Bebas Neue,YES,https://fonts.google.com/specimen/Bebas+Neue?query=Bebas+Neue,,,,bebas-neue(family)
1046,Share Tech,YES,https://fonts.google.com/specimen/Share+Tech,,,,
1047,Nimbus Sans	,YES,https://www.fontsquirrel.com/fonts/nimbus-sans-l?q%5Bterm%5D=Nimbus+Sans%09&q%5Bsearch_check%5D=Y,,,,nimbus-sans(family)
1048,Stardos Stencil,YES,https://fonts.google.com/specimen/Stardos+Stencil,,,,stencil
1049,Libre Bodoni,YES,https://fonts.google.com/specimen/Libre+Bodoni,,,,
1050,Raleway,YES,https://fonts.google.com/specimen/Raleway,,,,
1051,"Bree Serif",YES,https://fonts.google.com/specimen/Bree+Serif,,,,
1052,Merriweather,YES,https://fonts.google.com/specimen/Merriweather,,,,
1053,Press Start 2P,YES,https://fonts.google.com/specimen/Press+Start+2P,,,,
1054,Roboto,YES,https://fonts.google.com/specimen/Roboto,,,,
1055,Libre Baskerville,YES,https://fonts.google.com/specimen/Libre+Baskerville,,,,baskerville(family)
1056,,,,,,,
1057,,,,,,,
1058,,,,,,,
1059,,,,,,,
1060,,,,,,,
1061,,,,,,,
1062,,,,,,,
1063,,,,,,,
1064,,,,,,,
1065,,,,,,,
1066,,,,,,,
1067,,,,,,,
1068,,,,,,,
1069,,,,,,,
1070,,,,,,,
